,name,price,discount
239,MAYBELLINE NEW YORK Color Sensational Creamy Matte,₹223,25% off
240,myglamm LIQUID MATTE LIPSTICK- SUGAR CORAL,₹697,29% off
241,MISS ROSE combo of two cream matte makeup lipstick long...,₹226,62% off
242,myglamm Manish Malhotra Beauty Rose Lip Moisturising ge...,₹522,29% off
243,Lakmé Forever Matte Liquid Lip Colour -,₹215,27% off
244,"ELLE 18 Color, Pop Matte Lip Color, Rockstar Red+Winter...",₹460,0
245,ZM Zayn & Myza XOXO Lip & Cheek Cushion Stick | Matte F...,₹531,15% off
246,Revlon Color Burst Matte Lipstick,₹388,0
247,Lakmé Enrich Matte Lipstick,₹225,23% off
248,Marie Claire Paris Creamy Matte Lipstick,₹467,29% off
249,myglamm Perfect Curves - Biscotti,₹487,29% off
250,Renee Fab Bullet Lipstick L 18 Crimson Cupid,₹189,5% off
251,Lakmé Forever Matte Liquid Lip Colour,₹226,23% off
252,Wet n Wild Silk Finish Lipstick -,₹112,42% off
253,MISS ROSE 2 In 1 Lip Liner Pencil Lipstick Lip Beauty M...,₹195,51% off
254,"COLORBAR Matte Touch Lipstick Mini, Red MTLM001",₹307,23% off
255,Lakmé Cushion Matte Lipstick,₹191,32% off
256,MISS ROSE 2 in 1 Lipstick & Lipliner 33 Orchid,₹207,48% off
257,NY bae Argan Oil Infused Mini Lipstick Runway For Wheat...,₹188,24% off
258,Renee Check Matte Liquid Lip Color - House of Coral,₹299,14% off
259,Lakmé 9TO5 Primer + Matte Lip Color,₹350,30% off
260,teayason Sensational Enrich Forever Matte Liquid Mini S...,₹299,70% off
261,MISS ROSE Combo Of 2 Matte 2 in 1 LIP LINER & LIPSTICK,₹352,55% off
262,SUGAR Cosmetics Smudge Me Not Liquid Mini Lipstick Set,₹799,20% off
263,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569,24% off
264,MY TYA Insta Beauty Super Stay Water Proof Sensational ...,₹185,63% off
265,MISS ROSE Double Head Lip Gloss Lip liner Pen Matte Lip...,₹212,46% off
266,RONZILLE Professional Color Sensational Liquid Lipstick...,₹449,65% off
267,MAYBELLINE NEW YORK Sara's Favorite Sensational Liquid ...,₹718,30% off
268,MISS ROSE Lipstick Matte Lipstick Shade - Orchid (33) (...,₹162,45% off
269,LOTUS MAKE - UP Proedit Silk Touch Matte Lip Color Myst...,₹634,8% off
270,SERY Stay On Liquid Matte Lip Color - Show Stopper,₹373,25% off
271,lipsip BEAUTY Set of 12 Liquid Lipsticks Matte Finish L...,₹344,56% off
272,myglamm LIT Liquid Matte Lipstick-Homebody-3ml,₹316,20% off
273,MISS ROSE Missrose 2 in 1 lip liner and lipstick - 03 F...,₹191,52% off
274,MISS ROSE Double Head Lip Gloss Lip liner Pen Matte Lip...,₹207,48% off
275,"Renee Black Magic PH Stick - Madness, 3g",₹469,6% off
276,MISS ROSE Rewarm Matter Lipstick (57),₹165,44% off
277,Just Herbs Ayurvedic Creamy Matte Half-Size Lipstick Ki...,₹671,25% off
278,MI FASHION Matte Liquid Lipsticks Waterproof Long Lasti...,₹459,23% off
279,SUGAR Cosmetics Smudge Me Not Liquid Lipstick,₹499,0
280,SWISS BEAUTY Non_Transfer Matte Lipstick (SB-209-12),₹203,18% off
281,SWISS BEAUTY SB-202M-Shade-310,₹179,10% off
282,NY bae Argan Oil Infused Mini Lipstick Runway - Haute B...,₹194,25% off
283,Lakmé Forever Matte Liquid Lip Colour -,₹215,27% off
284,SERY Stay On Liquid Matte Lip Color - Don't Stop Me Red,₹398,20% off
285,NY bae Liquid Lipstick - Grooving In The Club 21,₹185,17% off
286,Just Herbs Enriched Pink Matte Lipstick,₹371,25% off
287,Lakmé Enrich Matte Lipstick,₹225,23% off
288,Wet n Wild Last High-Shine Lip Color,₹251,22% off
289,Revlon Color Burst Matte \,₹390,0
290,myglamm Tint It Up,₹487,29% off
291,Lakmé Forever Matte Liquid Lip Colour,₹226,23% off
292,NY bae Moisturizing Liquid Lipstick - Carrie's Big Drea...,₹185,17% off
293,myglamm SOFT MATTE LIPSTICK-ETERNAL ROSE,₹665,30% off
294,Lakmé Absolute Plush Matte Lip Crayon,₹551,31% off
295,Lakmé Cushion Matte Lipstick,₹191,32% off
296,SERY Stay On Liquid Matte Lip Color - Sagria Pout,₹398,20% off
297,MAYBELLINE NEW YORK Creamy Matte By Color Sensational N...,₹469,0
298,SERY Stay On Liquid Matte Lip Color - Spicy Rust,₹398,20% off
299,Lakmé 9TO5 Primer + Matte Lip Color,₹350,30% off
300,Just Herbs Ayurvedic Herb Enriched Peachy Coral Matte L...,₹371,25% off
301,LOTUS MAKE - UP Ecostay Butter Matte Lip Color Pamela,₹498,20% off
302,NYN HUDA Insta Beauty 5 in 1 Sensational Enrich Creamy ...,₹225,62% off
303,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569,24% off
304,L'Oréal Paris Rouge Signature Matte Liquid Lipstick (Pa...,"₹1,302",6% off
305,Revlon Super Lustrous - The Luscious Matte Lipstick,₹724,9% off
306,"ELLE 18 Color, Pop Matte Lip Color, Rose Day+Pink Show+...",₹465,0
307,MAYBELLINE NEW YORK Sara's Favorite Sensational Liquid ...,₹718,30% off
308,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
309,Marie Claire Paris Matte My Match,₹279,44% off
310,NYN HUDA Water Proof Liquid Matte Beauty Nude Lipstick ...,₹235,60% off
311,"Renee Black Magic PH Stick - Madness, 3g",₹469,6% off
312,tusti PinkLine Lipsticks Pack of 6 (PL1057-NEW),₹399,20% off
313,Renee Fab Bullet Lipstick L 14 Mojo Mauve,₹189,5% off
314,"L'Oréal Paris Color Riche Matte, 312 No Rage",₹788,1% off
315,SUGAR Cosmetics Smudge Me Not Liquid Lipstick,₹499,0
316,MI FASHION Fuller Lips Single Stroke Application Liquid...,₹599,33% off
317,RONZILLE Hyper Stay Matte Liquid Lipstick Smudge proof,₹449,65% off
318,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
319,Lakmé Absolute Matte Melt Mini Liquid Lip Colour,₹265,33% off
320,MISS ROSE Fabo 2 heads in 1 Lip liner and Lipstic (LOVE...,₹215,46% off
321,MISS ROSE Flame,₹199,50% off
322,Revlon Colorstay Overtime Lip Color,"₹1,300",0
323,Lakmé Forever Matte Liquid Lip Colour -,₹215,27% off
324,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
325,NYN HUDA Insta Beauty 5 in 1 Sensational Enrich Matte L...,₹224,62% off
326,MI FASHION Liquid Matte Lipsticks |Waterproof|Smudge Pr...,₹459,23% off
327,Lakmé Enrich Matte Lipstick,₹225,23% off
328,Renee Fab Bullet Lipstick L 17 Plum Play,₹189,5% off
329,MISS ROSE Missrose 2 in 1 lip liner and lipstick - 08 F...,₹187,53% off
330,myglamm HI-SHINE LIPSTICK -FUCHSIA FANTASY,₹665,30% off
331,Lakmé Forever Matte Liquid Lip Colour,₹226,23% off
332,"MAYBELLINE NEW YORK Sensational Liquid Matte Lipstick, ...",₹306,12% off
333,MISS ROSE Lipstick Matte Waterproof Shade - Beeper(48) ...,₹172,42% off
334,SERY Stay On Liquid Matte Lip Color - Seductive Fushia,₹398,20% off
335,Lakmé Cushion Matte Lipstick,₹191,32% off
336,MISS ROSE creme lipstick bullet shade -35 passion Lipst...,₹170,43% off
337,"COLORBAR Matte Touch Lipstick Mini, Nude MTLM019",₹317,20% off
338,NY bae Moisturizing Liquid Lipstick,₹160,17% off
339,Lakmé 9TO5 Primer + Matte Lip Color,₹350,30% off
340,MISS ROSE 2 lipstick,₹295,57% off
341,Just Herbs Ayurvedic Herb Enriched Burnt Red Matte Lips...,₹371,25% off
342,LOTUS MAKE - UP Ecostay Butter Matte Lip Color Petal,₹530,15% off
343,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569,24% off
344,Just Herbs Herb enriched liquid lipstick kit Set of 5 D...,₹558,25% off
345,teayason Insta Beauty Color Intense Enrich Creamy Matte...,₹170,57% off
346,"COLORBAR Matte Touch Lipstick Mini, corals MTLM041",₹307,23% off
347,MAYBELLINE NEW YORK Sara's Favorite Sensational Liquid ...,₹718,30% off
348,LOTUS MAKE - UP Proedit Silk Touch Matte Lip Color,₹476,31% off
349,ZM Zayn & Myza Transfer-Proof Power Matte Lipstick,₹509,15% off
350,SKINPLUS 5 IN 1 Nude Edition And Rose Edition Lipstick,₹230,61% off
351,"Renee Black Magic PH Stick - Madness, 3g",₹469,6% off
352,Just Herbs Herb enriched liquid lipstick kit Set of 5 B...,₹558,25% off
353,Pink line Liquid Matte Lipstick,₹799,20% off
354,HOUSE OF MAKEUP Pout Potion Liquid Matte Lipstick - Gir...,₹749,11% off
355,lipsip BEAUTY Set of 12 Liquid Lipsticks Matte Finish L...,₹344,56% off
356,SUGAR Cosmetics Wonder Woman Everlasting Matte Lipstick,₹786,1% off
357,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹499,16% off
358,Bay Watch Sensational Enrich Forever HD Creamy Matte Li...,₹199,33% off
359,SUGAR Cosmetics Smudge Me Not Liquid Lipstick,₹499,0
360,teayason Insta Beauty Color Intense Enrich Creamy Matte...,₹170,57% off
361,MISS ROSE MATTEE LONG LASTING MARI,₹170,43% off
362,Renee Fab Bullet Lipstick L 17 Plum Play,₹189,5% off
363,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569,24% off
